Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
jordynf040201;bloomington, indiana;31;22;50;july 2 2019;awesome views;june 2019
benita o;kissimmee, floride;4;11;50;july 2 2019;vacation;june 2019
amandaw99;cheshire, royaume uni;48;35;50;july 2 2019;absolutely awesome, amazing natural wonder;may 2019
rebecca f;fort worth, texas;29;28;40;july 2 2019;great experience;june 2019
dezerthiker;palm springs, californie;36;31;50;july 1 2019;don t hesitate;june 2019
thisiscliff;hamilton, canada;197;68;50;july 1 2019;worth the drive from vegas;july 2019
john s;altoona, pennsylvanie;214;71;50;july 1 2019;beautiful;july 2019
renakashmere;los angeles, californie;463;218;50;july 1 2019;spectacular;june 2019
julierchat;ponchatoula, louisiane;21;23;50;june 30 2019;hiked the upper rim;june 2019
dan c;roumanie;42;66;50;june 30 2019;such a insanely beautiful place  obviously, one of the 10 places to see before you die;august 2018
0912kristinb;lafayette, united states;3;4;50;june 28 2019;amazing vacation;june 2019
chris b;michigan;336;136;50;june 28 2019;bucket list check;june 2019
div106;new delhi, inde;357;178;50;june 27 2019;spectacular ;june 2019
bocavol;pinellas park, floride;107;53;50;june 27 2019;first   third visits;may 2019
rattmann;aldie, virginie;28;24;50;june 26 2019;great views;june 2019
steve d;tucson, united states;32;29;10;june 26 2019;it has become a sewer;june 2019
strategicfamplanner;richmond, virginie;72;46;50;june 26 2019;dazzling;june 2019
profmom_12;birmingham, alabama;92;65;50;june 25 2019;late may is a wonderful time to see the grand canyon in perfect weather;may 2019
roger w;oulton broad, royaume uni;401;200;50;june 25 2019;you have to see it;june 2019
biff_simp;wilbraham, massachusetts;366;217;50;june 24 2019;real virtual reality;june 2019
bfrank125;kalispell, montana;47;35;50;june 24 2019;bucket list visit;june 2019
helenandpaul13;worcester, royaume uni;547;396;50;june 24 2019;spectacular but too much to see in one day;june 2019
rose c;easley, sc;26;29;50;june 23 2019;awesome;may 2019
